token_id,num_sales,last_sale,class,age,genre,origin,latent
1025,1,5.0,Poet,0.58,nai,ROYH,BMOZ
1026,1,5.0,Poet,0.32,soa,HYIP,OFV1
1027,0,,Poet,0.40,son,49CX,F5QC
1034,0,,Poet,0.21,nas,UYHH,WUUF
1033,0,,Poet,0.30,ioh,550V,X44S
1028,0,,Poet,0.35,ion,OQIJ,CGBB
1029,0,,Poet,0.44,aef,5OOP,V092
1030,0,,Poet,0.28,sof,EJT3,93LT
1031,0,,Poet,0.33,ion,CSAR,GDVV
1032,0,,Poet,0.33,ioh,562N,8AIK
1035,0,,Poet,0.28,iof,9XNH,5RXP
1036,0,,Poet,0.21,ios,FYDS,V092
1037,1,1.49,Poet,0.26,ioh,INNG,5WHF
1038,0,,Poet,0.33,ioh,W92U,EZCO
1039,0,,Poet,0.37,ioh,FIVE,EU0A
1064,0,,Poet,0.21,fes,8WI4,XUZN
1073,0,,Poet,0.39,ioh,VIAK,83L5
1071,0,,Poet,0.28,soh,OJZT,GTQ3
1045,0,,Poet,0.32,nah,VO6C,YLNK
1044,0,,Poet,0.28,ios,NB2W,Q7L9
1047,0,,Poet,0.33,ios,4RPK,RHOF
1067,0,,Poet,0.32,ion,S0ME,IIVE
1069,1,2.2,Poet,0.42,ion,XBDO,Y40M
1065,0,,Poet,0.19,ioh,KXTY,WCW0
1046,0,,Poet,0.30,ioh,K3F8,SPLQ
1078,0,,Poet,0.30,soa,RQ3R,70TX
1040,0,,Poet,0.21,ioh,INNG,UX6F
1068,2,1.35,Poet,0.28,ion,7CNA,P8IX
1066,1,1.5,Poet,0.42,ioh,PXRR,5L9N
1049,0,,Poet,0.60,aes,P1DC,KT8B
1074,0,,Poet,0.39,sof,8RIH,WCW0
1079,0,,Poet,0.35,ioh,9903,0SS6
1048,0,,Poet,0.33,ioa,J7R6,4R7W
1043,0,,Poet,0.63,aes,OJZT,XTF3
1081,0,,Poet,0.19,son,DO49,OGD0
1070,1,1.5,Poet,0.35,naf,CW63,RD64
1080,0,,Poet,0.33,ion,7H3N,8TAH
1083,0,,Poet,0.40,sof,MP0P,4B97
1072,0,,Poet,0.26,fes,PWE6,U6AQ
1041,0,,Poet,0.42,nai,PZ5Q,213C
